election_date,list,district_id,constituency_city,votes_count,oath_date,seniority,party_full,city_of_birth,date_of_birth,education,finished_school,occupation,voting_participation,name,party_short,additional_info,party_function,academic_degree,sejm_function,mandate_expiry_date
13-10-2019,Koalicja Obywatelska,39,Poznań,25060,12-11-2019,brak,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni",Poznań,17-03-1988,wyższe,"Uniwersytet Artystyczny w Poznaniu, Wydział Architektury i Wzornictwa, Architektura i Urbanistyka - inżynier architekt (2014)",architekt,99.12,Sterczewski Franciszek,KO,,,,,
13-10-2019,Prawo i Sprawiedliwość,7,Chełm,7785,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,Biłgoraj,14-06-1971,wyższe,"Wyższa Szkoła Gospodarki Euroregionalnej im. Alcide De Gasperi w Józefowie, Wydział Nauk Społecznych, Pedagogika Opiekuńczo-Wychowawcza z Resocjalizacją - licencjat (2017)Wyższa Szkoła Zarządzania i Administracji, Ubezpieczenia Społeczne i Zdrowotne, Prawo Pracy (2018) - studia podyplomoweKolegium Pracowników Służb Społecznych, Organizacja Pomocy Społecznej (2019) - studia podyplomowe",przedstawiciel władzy samorządowej,99.4,Strzałka Beata,PiS,,,,,
13-10-2019,Koalicja Obywatelska,27,Bielsko-Biała,10039,12-11-2019,poseł VIII kadencji,Koło Parlamentarne Polska 2050,Bielsko-Biała,10-01-1976,wyższe,"Wyższa Szkoła Bankowa w Poznaniu, Wydział Zamiejscowy w Chorzowie, Finanse i Bankowość - licencjat (2000)",ekonomista,99.16,Suchoń Mirosław,Polska2050,,,,,
13-10-2019,Prawo i Sprawiedliwość,17,Radom,69141,12-11-2019,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Grójec,11-06-1958,średnie policealne/pomaturalne,"Pomaturalne Studium Zawodowe, Technik Teatralny (1980)",polityk - sekretarz stanu,99.67,Suski Marek,PiS,wiceprzewodniczący klubu,wiceprzewodniczący,,,
13-10-2019,Prawo i Sprawiedliwość,41,Szczecin,11346,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,Szczecin,03-10-1967,wyższe,"Uniwersytet Szczeciński, Wydział Humanistyczny, Politologia i Nauki Społeczne w Zakresie Socjologi - magister (2001)",parlamentarzysta,98.02,Szałabawka Artur,PiS,,,,,
13-10-2019,Prawo i Sprawiedliwość,29,Katowice,16649,12-11-2019,"poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Bytom,16-12-1955,wyższe,"Uniwersytet Śląski, Wydział Prawa, Prawo - magister (1983)",adwokat,96.17,Szarama Wojciech,PiS,wiceprzewodniczący klubu,wiceprzewodniczący,,,
13-10-2019,Sojusz Lewicy Demokratycznej,36,Kalisz,23799,12-11-2019,"poseł II kadencji, poseł III kadencji, poseł V kadencji, poseł VI kadencji","Koalicyjny Klub Poselski Lewicy (Nowa Lewica, Razem)",Chrośnica,01-06-1960,wyższe,"Akademia Ekonomiczna w Poznaniu, Organizacja i Zarządzanie, Organizacja i Zarządzanie - magister (1983)",ekonomista,99.07,Szczepański Wiesław,Lewica,,,,,
13-10-2019,Koalicja Obywatelska,19,Warszawa,13747,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni",Warszawa,14-12-1977,wyższe,"Uniwersytet Warszawski, Instytut Stosowanych Nauk Społecznych, Socjologia (2001)Szkoła Główna Handlowa w Warszawie, Europ. Stud. Finans. Inwest. w Samorz. Terytorialnym (2004) - studia podyplomowe",poseł na Sejm RP,98.74,Szczerba Michał,KO,,,,,
13-10-2019,Prawo i Sprawiedliwość,24,Białystok,12222,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,Ciechanowiec,22-09-1983,wyższe,"Uniwersytet w Białymstoku, Prawo, Administracja - magister (2008)Uniwersytet w Białymstoku, Zarzadzanie Zasobami Ludzkimi (2009) - studia podyplomowe",dyrektor do spraw energetyki,98.48,Szczudło Aleksandra,PiS,,,,,
13-10-2019,Prawo i Sprawiedliwość,15,Tarnów,25323,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,Nowy Sącz,14-03-1961,wyższe,"Akademia Medyczna w Lublinie, Wydział Pielęgniarski - magister (1994)Politechnika Krakowska, Audyt Wewn. Jedn. Sekt. Fin. Publ. (2004) - studia podyplomowe",menedżer ochrony zdrowia,99.64,Szczurek-Żelazko Józefa,PiS,,,,,
13-10-2019,Prawo i Sprawiedliwość,40,Koszalin,22116,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,Szczecin,27-02-1987,wyższe,"Europejska Wyższa Szkoła Prawa i Administracji (Warszawa), Wydział Prawa, Prawo - magister (2011)",prawnik,99.71,Szefernaker Paweł,PiS,,,,,
13-10-2019,Sojusz Lewicy Demokratycznej,33,Kielce,24337,12-11-2019,brak,"Koalicyjny Klub Poselski Lewicy (Nowa Lewica, Razem)",Końskie,28-04-1973,wyższe,"Szkoła Główna Handlowa w Warszawie, Finanse i Bankowość, Ekonomia - magister (1996)Uniwersytet Warszawski, Wydział Prawa i Administracji, Prawo - magister (1997)",radca prawny,95.93,Szejna Andrzej,Lewica,,,,,
13-10-2019,Koalicja Obywatelska,28,Częstochowa,10023,12-11-2019,"senator VII kadencji, senator VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni",Warszawa,20-02-1970,wyższe,"Uniwersytet Humanistyczno-Przyrodniczy im. Jana Długosza w Częstochowie, Wydział Pedagogiczny, Pedagogika z Wychowaniem Fizycznym - magister (1994)Akademia Wyższej Szkoły Biznesu w Dąbrowie Górniczej, Executive MBA (2018) - studia podyplomowe",urzędnik,99.09,Szewiński Andrzej,KO,,,,,
13-10-2019,Prawo i Sprawiedliwość,23,Rzeszów,15115,22-01-2020,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Rzeszów,19-01-1947,wyższe,"Wyższa Szkoła Inżynierska Rzeszów, Wydział Elektryczny, Elektrotechnika - inżynier (1970)Politechnika Warszawska, Wydział Elektryczny, Elektrotechnika - magister inżynier (1974)Instytut Elektrotechniki w Warszawie, Elektrotechnika - doktor (1980)",nauczyciel akademicki,98.77,Szlachta Andrzej,PiS,,,doktor,,
