election_date,list,district_id,constituency_city,votes_count,oath_date,seniority,party_full,city_of_birth,date_of_birth,education,finished_school,occupation,voting_participation,name,party_short,additional_info,party_function,academic_degree,sejm_function,mandate_expiry_date
13-10-2019,Prawo i Sprawiedliwość,13,Kraków,29686,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Krzeszowice,04-01-1959,wyższe,"Społeczna Akademia Nauk w Łodzi, Wydział Zarządzania, Rachunkowośc i finanse w zarządzaniu - licencjat (2014)",parlamentarzysta,94.53,Adamczyk Andrzej,PiS,,,,,
13-10-2019,Sojusz Lewicy Demokratycznej,32,Katowice,12148,12-11-2019,brak,"Koalicyjny Klub Poselski Lewicy (Nowa Lewica, Razem)",Dąbrowa Górnicza,30-05-1974,wyższe,"Politechnika Śląska, Organizacja i Zarządzanie, Zarządzanie przedsiębiorstwem i marketing przemysłowy - magister inżynier (1999)Wyższa Szkoła Techniczna w Katowicach, Urbanistyka i planowanie przestrzenne, Urbanistyka i planowanie przestrzenne (2009) - studia podyplomowe",samorządowiec,99.64,Adamczyk Rafał,Lewica,,,,,
13-10-2019,Koalicja Obywatelska,25,Gdańsk,41795,12-11-2019,brak,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni",Elbląg,26-06-1961,średnie ogólne,VI LO Gdańsk (1980),dziennikarz,99.24,Adamowicz Piotr,KO,,,,,
13-10-2019,Sojusz Lewicy Demokratycznej,38,Piła,14438,12-11-2019,"poseł II kadencji, poseł III kadencji, poseł IV kadencji, poseł VI kadencji, poseł VII kadencji","Koalicyjny Klub Poselski Lewicy (Nowa Lewica, Razem)",Duszniki Wielkopolskie,19-01-1949,średnie zawodowe,"Państwowe Technikum Rolnicze, Rolnictwo - technik (1968)",rolnik,97.47,Ajchler Romuald,Lewica,,,,,
13-10-2019,Koalicja Obywatelska,38,Piła,6654,15-06-2021,poseł VIII kadencji,Poseł niezrzeszony,Szamotuły,21-11-1955,wyższe,"Akademia Rolnicza w Poznaniu, Wydział Rolniczy, Mechanizacja rolnictwa - magister inżynier (1981)",przedsiębiorca rolny,82.67,Ajchler Zbigniew,niez.,,,,,
13-10-2019,Prawo i Sprawiedliwość,24,Białystok,29829,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,Grajewo,30-06-1990,wyższe,"Uniwersytet w Białymstoku, Wydział Historyczno-Socjologiczny, Stosunki międzynarodowe - magister (2014)",parlamentarzysta,99.12,Andruszkiewicz Adam,PiS,,,,,
13-10-2019,Prawo i Sprawiedliwość,32,Katowice,21723,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Czeladź,17-09-1971,wyższe,"Uniwersytet Śląski w Katowicach, Wydział Nauk Społecznych, Politologia - magister (1996)Uniwersytet Śląski w Katowicach, Organizacja Pomocy Społecznej (1999) - studia podyplomoweAkademia WSB w Dąbrowie Górniczej, MBA (2018) - studia podyplomowe",politolog,99.79,Andzel Waldemar,PiS,wiceprzewodniczący klubu,wiceprzewodniczący,,,
13-10-2019,Koalicja Obywatelska,8,Zielona Góra,23870,12-11-2019,brak,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni",Ośno Lubuskie,07-04-1963,wyższe,"Akademia Rolnicza w Poznaniu, Wydział Ogrodniczy, Ogrodnictwo - magister inżynier (1987)University of Georgia, USA, Ogrodnictwo - Doctor of Philosophy (Ph.D.) (1995)",architekt krajobrazu,98.83,Aniśko Tomasz,KO,,,Doctor of Philosophy (Ph.D.),,
13-10-2019,Prawo i Sprawiedliwość,5,Toruń,76267,12-11-2019,"poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Czernikowo,11-02-1961,wyższe,"Akademia Techniczno-Rolnicza w Bydgoszczy, Wydział Rolniczy, Rolnictwo - magister inżynier (1985)",inżynier rolnictwa,97.64,Ardanowski Jan Krzysztof,PiS,,,,,
13-10-2019,Prawo i Sprawiedliwość,35,Olsztyn,17916,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Olsztyn,04-06-1968,wyższe,"Wyższa Szkoła Pedagogiczna, Wydział Humanistyczny, Politologia i nauki społeczne - magister (1999)Uniwersytet Warmińsko-Mazurski, Rachunkowość (2002) - studia podyplomoweCollegium Civitas pod patronatem Studiów Politycznych, Stosunki międzynarodowe i dyplomacja, Stosunki międzynarodowe i dyplomacja (2012) - studia podyplomowe",politolog,99.74,Arent Iwona,PiS,,,,,
13-10-2019,Prawo i Sprawiedliwość,8,Zielona Góra,36073,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Zielona Góra,27-09-1958,wyższe,"Uniwersytet Wrocławski, Wydział Prawa i Administracji, Prawo - magister (1984)",radca prawny,99.26,Ast Marek,PiS,członek prezydium klubu,członek prezydium,,,
13-10-2019,Koalicja Obywatelska,15,Tarnów,20120,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni",Tarnów,01-09-1964,wyższe,"Wyższa Szkoła Pedagogiczna, Wydział Filologii Polskiej, Filologia polska - magister (1990)",dziennikarka,99.45,Augustyn Urszula,KO,,,,,
13-10-2019,Koalicja Obywatelska,26,Słupsk,9385,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni",Sopot,31-10-1960,wyższe,"Uniwersytet Gdański, Wydział Ekonomiki Transportu - magister (1986)",ekonomista,99.02,Aziewicz Tadeusz,KO,,,,,
13-10-2019,Prawo i Sprawiedliwość,34,Elbląg,19293,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Ostróda,27-04-1953,wyższe,"Akademia Rolniczo-Techniczna, Wydział Rolny - inżynier (1984)Akademia Rolniczo-Techniczna, Pedagogika Oświaty Rolniczej - magister (1986)Wyższa Szkoła Pedagogiczna, Organizacja i Zarządzanie Oświatą (1994) - studia podyplomowe",parlamentarzysta,99.4,Babalski Zbigniew,PiS,,,,,
13-10-2019,Prawo i Sprawiedliwość,22,Krosno,13360,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Krosno,09-09-1969,wyższe,"Uniwersytet Wrocławski, Wydział Nauk Historycznych i Pedagogicznych, Historia - magister (2007)",historyk,99.33,Babinetz Piotr,PiS,,,,,
13-10-2019,Prawo i Sprawiedliwość,37,Konin,17338,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,Turek,11-01-1968,wyższe,"Uniwersytet im Adama Mickiewicza w Poznaniu, Wydział Nauk Politycznych i Dziennikarstwa, Politologia - magister (2011)",parlamentarzysta,99.45,Bartosik Ryszard,PiS,,,,,
13-10-2019,Polskie Stronnictwo Ludowe,19,Warszawa,30405,12-11-2019,brak,"Klub Parlamentarny Koalicja Polska - PSL, UED, Konserwatyści",Warszawa,22-10-1955,wyższe,"Uniwersytet Warszawski, Wydział Historyczny, Etnografia - magister (1980)Uniwersytet w Cambridge, Wielka Brytania, Antropologia Społeczna - Doctor of Philosophy (Ph.D.) (1984)",historyk,93.27,Bartoszewski Władysław Teofil,KP,,,Doctor of Philosophy (Ph.D.),,
13-10-2019,Prawo i Sprawiedliwość,14,Nowy Sącz,23468,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Gorlice,03-07-1967,wyższe,"Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Wydział Prawa i Administracji, Administracja - magister (2000)Uniwersytet Rzeszowski, Wydział Prawa, Prawo - magister (2003)",prawnik,99.91,Bartuś Barbara,PiS,"wiceprzewodnicząca, sekretarz klubu","wiceprzewodnicząca, sekretarz",,,
13-10-2019,Prawo i Sprawiedliwość,24,Białystok,11060,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,Boratyńszczyzna,26-06-1961,wyższe,"Akademia Wychowania Fizycznego w Warszawie Filia Biała Podlaska, Wydział Wychowania Fizycznego, Wychowanie fizyczne - magister (1993)Akademia Wychowania Fizycznego w Poznaniu, Organizacja i zrządzanie sportem (2000) - studia podyplomowe",nauczyciel wychowania fizycznego,99.4,Baszko Mieczysław,PiS,,,,,
13-10-2019,Prawo i Sprawiedliwość,17,Radom,12494,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Mogielnica,04-01-1958,wyższe,"Szkoła Główna Gospodarstwa Wiejskiego w Warszawie, Wydział Leśny - magister inżynier (1984)",leśnik,99.22,Bąk Dariusz,PiS,,,,,
13-10-2019,Polskie Stronnictwo Ludowe,11,Sieradz,14161,12-11-2019,poseł VIII kadencji,"Klub Parlamentarny Koalicja Polska - PSL, UED, Konserwatyści",Łowicz,13-10-1962,wyższe,"Akademia Rolniczo-Techniczna w Olsztynie, Wydział Mechaniczny, Technologia maszyn - magister inżynier (1987)Politechnika Łódzka, Wydział Organizacji i Zarządzania, Menedżerskim (2001) - studia podyplomoweWojskowa Akademia Techniczna w Warszawie, Zarządzanie nieruchomościami. Pośrednictwo w obrocie nieruchomościami (2009) - studia podyplomowe",inżynier mechanik,98.12,Bejda Paweł,KP,,,,,
13-10-2019,Konfederacja Wolność i Niepodległość,13,Kraków,36428,12-11-2019,brak,Koło Poselskie Konfederacja,Kraków,27-05-1984,wyższe,"Uniwersytet Warszawski, Wydział Filozofii i Socjologii, Filozofia - licencjat (2018)",programista,78.48,Berkowicz Konrad,Konfederacja,,,,,
13-10-2019,Sojusz Lewicy Demokratycznej,19,Warszawa,19501,12-11-2019,brak,"Koalicyjny Klub Poselski Lewicy (Nowa Lewica, Razem)",Warszawa,11-01-1982,wyższe,"Universidad De Granada (Hiszpania), Socjologia i Nauki Polityczne, Socjologia - magister (2006)Collegium Civitas i Instytut Studiów Politycznych PAN, Studium Zarządzanie Organizacjami Pozarządowymi, Zarządzanie Organizacjami Pozarządowymi (2007) - studia podyplomowe",socjolożka,94.03,Biejat Magdalena,Lewica,wiceprzewodnicząca klubu,wiceprzewodnicząca,,,
13-10-2019,Prawo i Sprawiedliwość,6,Lublin,10286,12-11-2019,"poseł V kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Janów Lubelski,19-11-1969,wyższe,"Politechnika Rzeszowska im. I. Łukasiewicza, Wydział Elektryczny, Elektrotechnika - magister inżynier (1993)Politechnika Lubelska, Wydział Elektryczny, Telekomunikacja światłowodowa (1999) - studia podyplomoweWyższa Szkoła Przedsiębiorczości i Administracji w Lublinie, Rachunkowość budżetowa (2010) - studia podyplomowePolitechnika Lubelska, Master of Business Administration (2018) - studia podyplomowe",parlamentarzysta,99.33,Bielecki Jerzy,PiS,,,,,
13-10-2019,Polskie Stronnictwo Ludowe,26,Słupsk,19272,12-11-2019,"poseł III kadencji, poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Polska - PSL, UED, Konserwatyści",Sopot,28-04-1959,wyższe,"Uniwersytet Gdański, Wydział Prawa i Administracji, Prawo - magister (1985)",Parlamentarzysta,97.76,Biernacki Marek,KP,,,,,
13-10-2019,Prawo i Sprawiedliwość,20,Warszawa,135189,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Legionowo,19-09-1969,wyższe,"Uniwersytet Warszawski, Wydział Historyczny, Historia - magister (1995)Uniwersytet Warszawski, Smorząd terytorialny i rozwój lokalny (1998) - studia podyplomoweKrajowa Szkoła Administracji Publicznej, słuchacz KSAP IX Promocji (2001) - studia podyplomowe",urzędnik państwowy,98.45,Błaszczak Mariusz,PiS,wiceprzewodniczący klubu,wiceprzewodniczący,,,
13-10-2019,Koalicja Obywatelska,32,Katowice,15421,12-11-2019,brak,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni",Sosnowiec,12-03-1993,wyższe,"Uniwersytet Śląski, Wydział Nauk Społecznych, Nauki społeczne - licencjat (2015)Uniwersytet Śląski, Wydział Nauk Społecznych, Nauki humanistyczne - magister (2018)Akademia WSB w Dąbrowie Górniczej, MBA, MBA (2018) - studia podyplomowe",urzędnik samorządowy,99.55,Bochenek Mateusz,KO,,,,,
13-10-2019,Prawo i Sprawiedliwość,12,Kraków,46816,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,Kraków,14-08-1986,wyższe,"Uniwersytet Jagielloński w Krakowie, Prawo i Administracja, Prawo - magister (2011)Krakowska Izba Notarialna, aplikacja notarialna (2014) - studia podyplomoweKrakowska Szkoła Biznesu przy Uniwersytecie Ekonomicznym, MBA (2019) - studia podyplomowe",prawnik,98.93,Bochenek Rafał,PiS,,,,,
13-10-2019,Koalicja Obywatelska,25,Gdańsk,5491,12-11-2019,"poseł III kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni",Białogard,15-11-1957,średnie zawodowe,Technikum Budowy Okrętów i Statków w Gdańsku - technik (1977),technik mechanik,97.83,Borowczak Jerzy,KO,,,,,
13-10-2019,Prawo i Sprawiedliwość,5,Toruń,15200,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,Włocławek,20-08-1967,wyższe,"Wyższa Szkoła Pedagogiczna w Bydgoszczy, Wydział Pedagogiczny, Wychowanie muzyczne - magister (1993)Uniwersytet Mikołaja Kopernika w Toruniu, Pedagogika - doktor (2005)Kujawsko-Pomorskie Centrum Edukacji Nauczycieli we Włocławku, Organizacja i zarządzanie oświatą (2007) - studia podyplomoweUniwersytet im. Mikołaja Kopernika w Toruniu, Pedagogika zdolności i twórczości (2018) - studia podyplomoweWyższa Szkoła Kultury Społecznej i Medialnej w Toruniu, Relacje Międzynarodowe i Dyplomacja (2018) - studia podyplomowe",nauczyciel akademicki,99.97,Borowiak Joanna,PiS,zastępca sekretarza klubu,zastępca sekretarza,doktor,,
13-10-2019,Prawo i Sprawiedliwość,21,Opole,16953,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,Głuchołazy,11-06-1983,wyższe,"Uniwersytet Wrocławski, Wydział Nauk Społecznych, Stosunki Międzynarodowe - magister (2007)Uniwersytet Wrocławski, Fundusze Strukturale Unii Europejskiej (2008) - studia podyplomoweUniwersytet Gdański, Wydział Prawa i Administracji, Prawo - magister (2017)Akademia WSB w Dąbrowie Górniczej, MBA (2019) - studia podyplomowe",parlamentarzysta,96.67,Bortniczuk Kamil,PiS,,,,,
13-10-2019,Koalicja Obywatelska,1,Legnica,35064,12-11-2019,brak,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni",Bolesławiec,11-01-1976,wyższe,"Uniwersytet Wrocławski, Wydział Prawa i Administracji, prawo - magister (2001)",przedstawiciel władzy samorządowej - radny,94.21,Borys Piotr,KO,,,,,
13-10-2019,Prawo i Sprawiedliwość,29,Katowice,49914,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,Lędziny,11-03-1954,wyższe,"Uniwersytet Śląski, Wydział Prawa i Administracji, Prawo - magister (1996)Akademia Górniczo-Hutnicza w Krakowie, Zarządzanie przedsiębiorstwem (1998) - studia podyplomowe",prawnik,99.71,Borys-Szopa Bożena,PiS,,,,,
13-10-2019,Konfederacja Wolność i Niepodległość,33,Kielce,22158,12-11-2019,poseł V kadencji,Koło Poselskie Konfederacja,Zielona Góra,13-06-1982,średnie ogólne,I Liceum Ogólnokształcące w Zielonej Górze (2000),działacz społeczny,80.43,Bosak Krzysztof,Konfederacja,wiceprzewodniczący koła,wiceprzewodniczący,,,
13-10-2019,Konfederacja Wolność i Niepodległość,23,Rzeszów,31148,12-11-2019,brak,Koło Poselskie Konfederacja,Toruń,11-03-1967,wyższe,"Uniwersytet Wrocławski, Wydział Filologiczny, Polonistyka - magister (1993)",reżyser,65.58,Braun Grzegorz,Konfederacja,,,,,
13-10-2019,Prawo i Sprawiedliwość,9,Łódź,50114,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,Turek,21-09-1982,wyższe,"Uniwersytet Łódzki, Wydział Prawa i Administracji, Prawo - magister (2006)Okręgowa Izba Radców Prawnych w Łodzi, Aplikacja radcowska - Radca prawny (2011) - studia podyplomowe",prawnik,95.12,Buda Waldemar,PiS,,,,,
13-10-2019,Koalicja Obywatelska,31,Katowice,99550,12-11-2019,"poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni",Czeladź,11-03-1978,wyższe,"Uniwersytet Śląski w Katowicach, Wydział Prawa i Administracji, Prawo - magister (2002)Uniwersytet Ekonomiczny w Katowicach, Wydział Finansów i Ubezpieczeń, Ekonomia - doktor (2011)",nauczyciel akademicki,96.19,Budka Borys,KO,przewodniczący klubu,przewodniczący,doktor,,
13-10-2019,Prawo i Sprawiedliwość,15,Tarnów,12449,12-11-2019,brak,Koło Parlamentarne Porozumienie Jarosława Gowina,Bochnia,08-11-1972,wyższe,"Uniwersytet Jagielloński, Wydział Filologiczny, Filologia Polska - magister (2000)",przedsiębiorca,99.03,Bukowiec Stanisław,Porozumienie,,,,,
13-10-2019,Prawo i Sprawiedliwość,28,Częstochowa,24672,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,Rzeki Wielkie,27-08-1964,wyższe,"Uniwersytet Śląski, Wydział Nauk Społecznych, Historia - magister (1990)Wyższa Szkoła Pedagogiczna w Częstochowie, Fizyka z informatyką (1999) - studia podyplomoweWyższa Szkoła Zarządzania i Przedsiębiorczości w Kaliszu, Organizacja i zarządzanie - menedżer w oświacie (2001) - studia podyplomoweRegionalny Ośrodek Doskonalenia Nauczycieli ""WOM"", Oligofrenopedagogika (2007) - studia podyplomowe",nauczyciel,98.74,Burzyńska Lidia,PiS,,,,,
13-10-2019,Sojusz Lewicy Demokratycznej,23,Rzeszów,15605,12-11-2019,brak,"Koalicyjny Klub Poselski Lewicy (Nowa Lewica, Razem)",Rzeszów,27-09-1957,wyższe,"Wyższa Szkoła Społeczno-Gospodarcza w Tyczynie, Wydział Socjologiczno-Politologiczny, Socjologia - magister (2005)",socjolog,99.31,Buż Wiesław,Lewica,,,,,
13-10-2019,Koalicja Obywatelska,25,Gdańsk,13557,12-11-2019,poseł VIII kadencji,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni",Gdańsk,01-05-1953,wyższe,"Politechnika Gdańska, Wydział Urbanistyki i Architektury, Architektura - magister inżynier (1980)",inżynier architekt,98.33,Chmiel Małgorzata,KO,,,,,
13-10-2019,Prawo i Sprawiedliwość,23,Rzeszów,20634,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Kolbuszowa,22-09-1954,wyższe,"Politechnika Krakowska, Wydział Inżynierii Sanitarnej - magister inżynier (1980)",inżynier środowiska,96.81,Chmielowiec Zbigniew,PiS,,,,,
13-10-2019,Prawo i Sprawiedliwość,6,Lublin,13777,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,Kraśnik,16-12-1957,wyższe,"Akademia Górniczo-Hutnicza w Krakowie, Wydział Metali Nieżelaznych, Metalurgia Metali Nieżelaznych - magister inżynier (1981)Wyższa Szkoła National-Louis University w Nowym Sączu, Zarządzanie firmą (1998) - studia podyplomoweWarszawska Szkoła Zarządzania Szkoła Wyższa, Zarządzanie nieruchomościami (2012) - studia podyplomowe",urzędnik państwowy,99.72,Choma Kazimierz,PiS,,,,,
13-10-2019,Prawo i Sprawiedliwość,20,Warszawa,9596,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,Elbląg,29-12-1978,wyższe,"Państwowa Wyższa Szkoła Teatralna w Krakowie, Wydział Aktorski, aktorstwo dramatyczne - magister sztuki (2000)",aktorka,98.55,Chorosińska Dominika,PiS,,,,,
13-10-2019,Prawo i Sprawiedliwość,22,Krosno,11177,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,Grodzisko Dolne,14-09-1963,wyższe,"Wyższa Szkoła Gospodarcza w Przemyślu, Zarządzanie i Marketing - licencjat (2006)Politechnika Lubelska, Zarządzanie, Przedsiębiorczość i Marketing - magister (2010)Wyższa Szkoła Menadżerska w Warszawie, Executive Master of Business Administration (2018) - studia podyplomowe",przedstawiciel władzy samorządowej,98.67,Chrzan Tadeusz,PiS,,,,,
13-10-2019,Prawo i Sprawiedliwość,16,Płock,13133,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,Ciechanów,07-02-1962,wyższe,"Uniwersytet Mikołaja Kopernika w Toruniu, Wydział Matematyki, Fizyki i Chemii, Chemia - magister (1991)Uniwersytet Warszawski, Fizyka z astronomią (2001) - studia podyplomowe",parlamentarzysta,97.4,Cicholska Anna Ewa,PiS,,,,,
13-10-2019,Koalicja Obywatelska,35,Olsztyn,26402,12-11-2019,"poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni",Bytom,07-01-1957,wyższe,"Akademia Rolniczo-Techniczna w Olsztynie, Wydział Rolniczy, Ekonomika rolnictwa - magister inżynier (1981)Szkoła Główna Handlowa w Warszawie, Ekonomia - doktor (1990)",poseł,98.78,Cichoń Janusz,KO,,,doktor,,
13-10-2019,Prawo i Sprawiedliwość,33,Kielce,12310,12-11-2019,poseł VIII kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,Dąbrowa Tarnowska,09-12-1974,wyższe,"Uniwersytet Rolniczy im. H. Kołłątaja w Krakowie, Wydział Rolniczy, Agroekonomia - magister inżynier (2001)Wyższa Warszawska Szkoła Biznesu, MBA (2017) - studia podyplomowe",parlamentarzysta,97.91,Cieślak Michał,PiS,,,,,
13-10-2019,Prawo i Sprawiedliwość,25,Gdańsk,8019,12-11-2019,"poseł III kadencji, poseł IV kadencji, poseł V kadencji, poseł VI kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Nowy Staw,06-06-1955,wyższe,"Uniwersytet Gdański, Ekonomika transportu, Ekonomika i organizacja transportu lądowego - magister (1978)",parlamentarzysta,95.45,Cymański Tadeusz,PiS,,,,,
13-10-2019,Koalicja Obywatelska,33,Kielce,9864,12-11-2019,poseł VIII kadencji,"Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni",Kielce,29-03-1960,wyższe,"Politechnika Świętokrzyska w Kielcach, Wydział Mechaniczny, Samochody i ciągniki - magister inżynier (1986)Uniwersytet Warszawski, Menedżerski (1993) - studia podyplomowe",przedsiębiorca,99.14,Cyrański Adam,KO,,,,,
13-10-2019,Prawo i Sprawiedliwość,38,Piła,38116,12-11-2019,poseł V kadencji,Klub Parlamentarny Prawo i Sprawiedliwość,Trzcianka,25-10-1957,średnie zawodowe,"Technikum Budowlano-Drogowe w Pile, Technik Budowlano-Drogowy - technik (1977)",przedstawiciel władzy samorządowej,99.9,Czarnecki Krzysztof,PiS,,,,,
13-10-2019,Prawo i Sprawiedliwość,3,Wrocław,19413,12-11-2019,"poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Wrocław,12-09-1983,średnie ogólne,XXXVIII Liceum Ogólnokształcące w Warszawie (2003),parlamentarzysta,96.57,Czarnecki Przemysław,PiS,,,,,
13-10-2019,Prawo i Sprawiedliwość,37,Konin,16502,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Murowana Goślina,12-04-1953,wyższe,"Politechnika Poznańska, Budownictwo Lądowe, Budownictwo miejskie i przemysłowe - magister inżynier (1977)Politechnika Poznańska, Wydział Budownictwa Lądowego, nauki techniczne - doktor (1987)",parlamentarzysta,97.34,Czarnecki Witold,PiS,członek prezydium klubu,członek prezydium,doktor,,
13-10-2019,Prawo i Sprawiedliwość,6,Lublin,87343,12-11-2019,brak,Klub Parlamentarny Prawo i Sprawiedliwość,Koło,11-06-1977,wyższe,"Katolicki Uniwersytet Lubelski, Wydział Prawa, Prawa Kanonicznego i Administracji, Prawo - magister (2001)Katolicki Uniwersytet Lubelski Jana Pawła II, Prawo konstytucyjne - doktor (2006)Katolicki Uniwersytet Lubelski Jana Pawła II, Prawo konstytucyjne - doktor habilitowany (2015)",wyższy urzędnik administracji rządowej,98.91,Czarnek Przemysław,PiS,,,doktor habilitowany,,
13-10-2019,Prawo i Sprawiedliwość,18,Siedlce,22457,12-11-2019,"poseł V kadencji, poseł VI kadencji, poseł VII kadencji, poseł VIII kadencji",Klub Parlamentarny Prawo i Sprawiedliwość,Ostrołęka,14-04-1966,wyższe,"Katolicki Uniwersytet Lubelski Jana Pawła II, Wydział Humanistyczny, Historia - magister (1991)",nauczyciel,98.9,Czartoryski Arkadiusz,PiS,,,,,
13-10-2019,Sojusz Lewicy Demokratycznej,32,Katowice,31244,12-11-2019,brak,"Koalicyjny Klub Poselski Lewicy (Nowa Lewica, Razem)",Warszawa,03-05-1960,wyższe,"Uniwersytet Warszawski, Dziennikarstwo i Nauki Polityczne, Stosunki Międzynarodowe - magister (1988)",politolog,98.71,Czarzasty Włodzimierz,Lewica,,,,Wicemarszałek Sejmu od 12-11-2019,
13-10-2019,Sojusz Lewicy Demokratycznej,6,Lublin,17720,12-11-2019,poseł VII kadencji,"Koalicyjny Klub Poselski Lewicy (Nowa Lewica, Razem)",Świdnik,30-08-1964,wyższe,"Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Nauki Polityczne - magister (1989)Uniwersytet Marii Curie-Skłodowskiej w Lublinie, Zarządzanie i Administracja (2001) - studia podyplomowe",politolog,99.6,Czerniak Jacek,Lewica,,,,,
13-10-2019,Koalicja Obywatelska,1,Legnica,15761,12-11-2019,"poseł VII kadencji, poseł VIII kadencji","Klub Parlamentarny Koalicja Obywatelska - Platforma Obywatelska, Nowoczesna, Inicjatywa Polska, Zieloni",Wola Obszańska,30-09-1950,wyższe,"Wyższa Szkoła Ekonomiczna we Wrocławiu, Wydział Gospodarki Narodowej, Ekonomika przemysłu - magister (1974)Polska Akademia Nauk w Warszawie, Europejskie prawo bankowe (2000) - studia podyplomoweAkademia Ekonomiczna we Wrocławiu, Wykorzystanie funduszy z UE (2005) - studia podyplomowe",parlamentarzystka,99.81,Czernow Zofia,KO,,,,,
